Term, Frequency
a+, 6
abound, 4

abundance, 2
abundant, 4

accessible, 6

acclaimed, 4





accomplish, 18
accomplished, 14
accomplishment, 1
accomplishments, 6
accurate, 89
accurately, 12
achievable, 2
achievement, 14
achievements, 4

acumen, 1


adequate, 46
adjustable, 2


admiration, 1
admire, 2

admiring, 2

adorable, 1

adored, 1








advanced, 28
advantage, 102
advantageous, 1

advantages, 17


advocate, 36
advocated, 12
advocates, 42




affection, 1

affinity, 1
affirm, 2

affirmative, 2

affluent, 4
afford, 58
affordable, 11


agile, 4


agreeable, 17


all-around, 1





amazed, 5


amazing, 11
amazingly, 3
ambitious, 16

ameliorate, 1
amenable, 3





amicable, 4
amicably, 1

ample, 11


amusing, 1

angel, 13


appeal, 63
appealing, 5


appreciate, 199
appreciated, 9
appreciates, 3
appreciative, 1

appropriate, 205
approval, 337
approve, 206
ardent, 2


articulate, 4
aspiration, 1
aspirations, 1
aspire, 1
assurance, 16
assurances, 18
assure, 21

assuring, 5

astonished, 1





astounding, 1


attentive, 3
attraction, 1
attractive, 21






authoritative, 7
autonomous, 1
available, 843

avid, 2

award, 61
awarded, 49
awards, 37


awesome, 8




backbone, 10
balanced, 22
bargain, 13

beautiful, 8



beauty, 6
beckon, 1



believable, 1

beloved, 1


beneficial, 15

beneficiary, 2
benefit, 163
benefits, 145
benevolence, 2
benevolent, 1

best, 570
best-known, 1


better, 374

better-than-expected, 3


bless, 1
blessing, 1
bliss, 3
blissful, 1


blockbuster, 53

blossom, 3
bolster, 12

bonus, 25
bonuses, 31
boom, 15
booming, 7
boost, 76




brand-new, 5
brave, 11


breakthrough, 8
breakthroughs, 1

breathtaking, 1

breeze, 4
bright, 23
brighten, 1
brighter, 1
brightest, 5
brilliance, 1

brilliant, 3

brisk, 1
brotherly, 2
bullish, 14
buoyant, 2

calm, 5
calming, 3

capability, 16
capable, 31







celebrate, 16
celebrated, 2
celebration, 23

champ, 2
champion, 2
charisma, 1

charitable, 7

charming, 5


cheaper, 24
cheapest, 13
cheer, 4
cheerful, 1

cherish, 1


chic, 1




clarity, 5
classic, 17
classy, 2
clean, 197
cleaner, 14
cleanest, 3

cleanly, 3
clear, 244
clear-cut, 4
cleared, 34
clearer, 2
clearly, 111
clears, 2
clever, 2
cleverly, 1



cohesive, 1
colorful, 4

comfort, 17
comfortable, 70
comfortably, 3
comforting, 1


commendable, 1
commendably, 1
commitment, 87

compact, 13

compassion, 1

compatible, 4
competitive, 150
complement, 2
complementary, 3


compliant, 2

complimentary, 15
comprehensive, 61

conciliatory, 4
concise, 3
confidence, 33
confident, 75

congratulate, 5

congratulations, 25
congratulatory, 1
conscientious, 2

consistent, 85
consistently, 19
constructive, 8
consummate, 5
contentment, 2
continuity, 11

contribution, 50
convenience, 46
convenient, 33
conveniently, 4



convincing, 4

cool, 35
coolest, 6
cooperative, 13
cooperatively, 7
cornerstone, 8
correct, 121
correctly, 33
cost-effective, 11
cost-saving, 1


courage, 6



courteous, 1

covenant, 5

creative, 15

credible, 2
crisp, 3

cure, 28


cute, 3





darling, 4


dawn, 39
dazzle, 2

dazzling, 4


decency, 3
decent, 20
decisive, 8

dedicated, 44
defeat, 2


defeats, 10

deference, 4


delectable, 1

delicate, 10
delicious, 2
delight, 7
delighted, 9
delightful, 1


dependable, 4


deserving, 1
desirable, 4
desiring, 2

destiny, 2








diligence, 24
diligent, 2
diligently, 2
diplomatic, 2
dirt-cheap, 2
distinction, 9

distinguished, 21
diversified, 14
divine, 5
divinely, 1
dominate, 11
dominated, 22








durable, 2
dynamic, 18
eager, 32
eagerly, 3

earnest, 8


ease, 48
eased, 6
eases, 1
easier, 70
easiest, 8

easing, 9
easy, 86
easy-to-use, 8





economical, 9





educated, 2
effective, 332
effectively, 57
effectiveness, 10


efficient, 96
efficiently, 17



effusive, 2


elan, 1






elegant, 6

elevate, 1
elite, 37

eloquent, 1



eminent, 21

empathy, 1
empower, 7
empowerment, 1


enchanting, 1

encourage, 108
encouragement, 1
encouraging, 13



endorse, 7
endorsed, 17
endorsement, 9
